Date : 2023-10-17 13:57:21
Directory : c:\xampp\htdocs\inmuebles
Total : 2183 files,  723867 codes, 84903 comments, 116801 blanks, all 925571 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\jquery-validation\localization\messages_pt_PT.min.js                              | JavaScript         |          1 |          3 |          0 |          4 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\jquery-validation\localization\messages_ro.js                                     | JavaScript         |         30 |          4 |          1 |         35 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\jquery-validation\localization\messages_ro.min.js                                 | JavaScript         |          1 |          3 |          0 |          4 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\jquery-validation\localization\messages_ru.js                                     | JavaScript         |         30 |          4 |          1 |         35 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\jquery-validation\localization\messages_ru.min.js                                 | JavaScript         |          1 |          3 |          0 |          4 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\jquery-validation\localization\messages_sd.js                                     | JavaScript         |         30 |          4 |          1 |         35 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\jquery-validation\localization\messages_sd.min.js                                 | JavaScript         |          1 |          3 |          0 |          4 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\jquery-validation\localization\messages_si.js                                     | JavaScript         |         30 |          4 |          1 |         35 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\jquery-validation\localization\messages_si.min.js                                 | JavaScript         |          1 |          3 |          0 |          4 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\jquery-validation\localization\messages_sk.js                                     | JavaScript         |         28 |          4 |          1 |         33 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\jquery-validation\localization\messages_sk.min.js                                 | JavaScript         |          1 |          3 |          0 |          4 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\jquery-validation\localization\messages_sl.js                                     | JavaScript         |         30 |          4 |          1 |         35 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\jquery-validation\localization\messages_sl.min.js                                 | JavaScript         |          1 |          3 |          0 |          4 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\jquery-validation\localization\messages_sr.js                                     | JavaScript         |         31 |          4 |          1 |         36 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\jquery-validation\localization\messages_sr.min.js                                 | JavaScript         |          1 |          3 |          0 |          4 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\jquery-validation\localization\messages_sr_lat.js                                 | JavaScript         |         31 |          4 |          1 |         36 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\jquery-validation\localization\messages_sr_lat.min.js                             | JavaScript         |          1 |          3 |          0 |          4 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\jquery-validation\localization\messages_sv.js                                     | JavaScript         |         30 |          4 |          1 |         35 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\jquery-validation\localization\messages_sv.min.js                                 | JavaScript         |          1 |          3 |          0 |          4 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\jquery-validation\localization\messages_th.js                                     | JavaScript         |         30 |          4 |          1 |         35 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\jquery-validation\localization\messages_th.min.js                                 | JavaScript         |          1 |          3 |          0 |          4 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\jquery-validation\localization\messages_tj.js                                     | JavaScript         |         30 |          4 |          1 |         35 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\jquery-validation\localization\messages_tj.min.js                                 | JavaScript         |          1 |          3 |          0 |          4 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\jquery-validation\localization\messages_tr.js                                     | JavaScript         |         32 |          4 |          1 |         37 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\jquery-validation\localization\messages_tr.min.js                                 | JavaScript         |          1 |          3 |          0 |          4 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\jquery-validation\localization\messages_uk.js                                     | JavaScript         |         30 |          4 |          1 |         35 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\jquery-validation\localization\messages_uk.min.js                                 | JavaScript         |          1 |          3 |          0 |          4 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\jquery-validation\localization\messages_ur.js                                     | JavaScript         |         30 |          4 |          1 |         35 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\jquery-validation\localization\messages_ur.min.js                                 | JavaScript         |          1 |          3 |          0 |          4 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\jquery-validation\localization\messages_vi.js                                     | JavaScript         |         30 |          4 |          1 |         35 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\jquery-validation\localization\messages_vi.min.js                                 | JavaScript         |          1 |          3 |          0 |          4 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\jquery-validation\localization\messages_zh.js                                     | JavaScript         |         31 |          4 |          1 |         36 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\jquery-validation\localization\messages_zh.min.js                                 | JavaScript         |          1 |          3 |          0 |          4 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\jquery-validation\localization\messages_zh_TW.js                                  | JavaScript         |         31 |          5 |          1 |         37 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\jquery-validation\localization\messages_zh_TW.min.js                              | JavaScript         |          1 |          3 |          0 |          4 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\jquery-validation\localization\methods_de.js                                      | JavaScript         |         19 |          4 |          1 |         24 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\jquery-validation\localization\methods_de.min.js                                  | JavaScript         |          1 |          3 |          0 |          4 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\jquery-validation\localization\methods_es_CL.js                                   | JavaScript         |         19 |          4 |          1 |         24 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\jquery-validation\localization\methods_es_CL.min.js                               | JavaScript         |          1 |          3 |          0 |          4 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\jquery-validation\localization\methods_fi.js                                      | JavaScript         |         19 |          4 |          1 |         24 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\jquery-validation\localization\methods_fi.min.js                                  | JavaScript         |          1 |          3 |          0 |          4 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\jquery-validation\localization\methods_it.js                                      | JavaScript         |         19 |          4 |          1 |         24 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\jquery-validation\localization\methods_it.min.js                                  | JavaScript         |          1 |          3 |          0 |          4 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\jquery-validation\localization\methods_nl.js                                      | JavaScript         |         19 |          4 |          1 |         24 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\jquery-validation\localization\methods_nl.min.js                                  | JavaScript         |          1 |          3 |          0 |          4 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\jquery-validation\localization\methods_pt.js                                      | JavaScript         |         16 |          4 |          1 |         21 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\jquery-validation\localization\methods_pt.min.js                                  | JavaScript         |          1 |          3 |          0 |          4 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\jquery\jquery.js                                                                  | JavaScript         |      6,895 |      1,911 |      2,076 |     10,882 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\jquery\jquery.min.js                                                              | JavaScript         |          1 |          1 |          1 |          3 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\jquery\jquery.slim.js                                                             | JavaScript         |      5,509 |      1,582 |      1,692 |      8,783 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\jquery\jquery.slim.min.js                                                         | JavaScript         |          1 |          1 |          1 |          3 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\jqvmap\jquery.vmap.js                                                             | JavaScript         |      1,055 |          8 |        227 |      1,290 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\jqvmap\jquery.vmap.min.js                                                         | JavaScript         |          1 |          8 |          1 |         10 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\jqvmap\jqvmap.css                                                                 | CSS                |         50 |          0 |          1 |         51 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\jqvmap\jqvmap.min.css                                                             | CSS                |          1 |          0 |          1 |          2 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\jqvmap\maps\continents\jquery.vmap.africa.js                                      | JavaScript         |          1 |          1 |          1 |          3 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\jqvmap\maps\continents\jquery.vmap.asia.js                                        | JavaScript         |          1 |          1 |          1 |          3 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\jqvmap\maps\continents\jquery.vmap.australia.js                                   | JavaScript         |          1 |          1 |          1 |          3 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\jqvmap\maps\continents\jquery.vmap.europe.js                                      | JavaScript         |          1 |          1 |          1 |          3 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\jqvmap\maps\continents\jquery.vmap.north-america.js                               | JavaScript         |          1 |          1 |          1 |          3 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\jqvmap\maps\continents\jquery.vmap.south-america.js                               | JavaScript         |          1 |          1 |          1 |          3 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\jqvmap\maps\jquery.vmap.algeria.js                                                | JavaScript         |          1 |          1 |          1 |          3 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\jqvmap\maps\jquery.vmap.argentina.js                                              | JavaScript         |          1 |          0 |          1 |          2 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\jqvmap\maps\jquery.vmap.brazil.js                                                 | JavaScript         |          1 |          1 |          1 |          3 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\jqvmap\maps\jquery.vmap.canada.js                                                 | JavaScript         |          1 |          1 |          0 |          2 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\jqvmap\maps\jquery.vmap.croatia.js                                                | JavaScript         |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\jqvmap\maps\jquery.vmap.europe.js                                                 | JavaScript         |          1 |          1 |          1 |          3 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\jqvmap\maps\jquery.vmap.france.js                                                 | JavaScript         |          1 |          0 |          1 |          2 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\jqvmap\maps\jquery.vmap.germany.js                                                | JavaScript         |          1 |          1 |          1 |          3 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\jqvmap\maps\jquery.vmap.greece.js                                                 | JavaScript         |          1 |          0 |          1 |          2 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\jqvmap\maps\jquery.vmap.indonesia.js                                              | JavaScript         |          1 |          4 |          0 |          5 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\jqvmap\maps\jquery.vmap.iran.js                                                   | JavaScript         |          1 |          5 |          1 |          7 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\jqvmap\maps\jquery.vmap.iraq.js                                                   | JavaScript         |          1 |          0 |          1 |          2 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\jqvmap\maps\jquery.vmap.new_regions_france.js                                     | JavaScript         |         31 |          0 |          2 |         33 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\jqvmap\maps\jquery.vmap.russia.js                                                 | JavaScript         |          1 |          1 |          1 |          3 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\jqvmap\maps\jquery.vmap.serbia.js                                                 | JavaScript         |          1 |          5 |          1 |          7 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\jqvmap\maps\jquery.vmap.tunisia.js                                                | JavaScript         |          1 |          1 |          1 |          3 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\jqvmap\maps\jquery.vmap.turkey.js                                                 | JavaScript         |          6 |          5 |          1 |         12 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\jqvmap\maps\jquery.vmap.ukraine.js                                                | JavaScript         |          2 |          0 |          0 |          2 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\jqvmap\maps\jquery.vmap.usa.counties.js                                           | JavaScript         |          1 |          1 |          0 |          2 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\jqvmap\maps\jquery.vmap.usa.districts.js                                          | JavaScript         |          1 |          1 |          0 |          2 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\jqvmap\maps\jquery.vmap.usa.js                                                    | JavaScript         |          1 |          1 |          1 |          3 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\jqvmap\maps\jquery.vmap.world.js                                                  | JavaScript         |          1 |          1 |          1 |          3 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\jsgrid\demos\db.js                                                                | JavaScript         |        872 |          0 |         12 |        884 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\jsgrid\i18n\jsgrid-de.js                                                          | JavaScript         |         41 |          0 |          6 |         47 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\jsgrid\i18n\jsgrid-es.js                                                          | JavaScript         |         41 |          0 |          6 |         47 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\jsgrid\i18n\jsgrid-fr.js                                                          | JavaScript         |         41 |          0 |          7 |         48 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\jsgrid\i18n\jsgrid-he.js                                                          | JavaScript         |         41 |          0 |          6 |         47 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\jsgrid\i18n\jsgrid-ja.js                                                          | JavaScript         |         41 |          0 |          5 |         46 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\jsgrid\i18n\jsgrid-ka.js                                                          | JavaScript         |         41 |          0 |          6 |         47 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\jsgrid\i18n\jsgrid-pl.js                                                          | JavaScript         |         57 |          0 |          6 |         63 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\jsgrid\i18n\jsgrid-pt-br.js                                                       | JavaScript         |         41 |          0 |          6 |         47 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\jsgrid\i18n\jsgrid-pt.js                                                          | JavaScript         |         41 |          0 |          6 |         47 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\jsgrid\i18n\jsgrid-ru.js                                                          | JavaScript         |         41 |          0 |          7 |         48 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\jsgrid\i18n\jsgrid-tr.js                                                          | JavaScript         |         41 |          0 |          7 |         48 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\jsgrid\i18n\jsgrid-zh-cn.js                                                       | JavaScript         |         41 |          0 |          6 |         47 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\jsgrid\i18n\jsgrid-zh-tw.js                                                       | JavaScript         |         41 |          0 |          6 |         47 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\jsgrid\jsgrid-theme.css                                                           | CSS                |        207 |          6 |         46 |        259 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\jsgrid\jsgrid-theme.min.css                                                       | CSS                |          1 |          5 |          1 |          7 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\jsgrid\jsgrid.css                                                                 | CSS                |         99 |          5 |         23 |        127 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\jsgrid\jsgrid.js                                                                  | JavaScript         |      1,961 |          5 |        551 |      2,517 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\jsgrid\jsgrid.min.css                                                             | CSS                |          1 |          5 |          1 |          7 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\jsgrid\jsgrid.min.js                                                              | JavaScript         |          2 |          5 |          1 |          8 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\jszip\jszip.js                                                                    | JavaScript         |      6,667 |      3,376 |      1,327 |     11,370 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\jszip\jszip.min.js                                                                | JavaScript         |          1 |         11 |          1 |         13 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\moment\locale\af.js                                                               | JavaScript         |         73 |          4 |          6 |         83 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\moment\locale\ar-dz.js                                                            | JavaScript         |        153 |          8 |          7 |        168 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\moment\locale\ar-kw.js                                                            | JavaScript         |         56 |          4 |          6 |         66 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\moment\locale\ar-ly.js                                                            | JavaScript         |        172 |          4 |          7 |        183 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\moment\locale\ar-ma.js                                                            | JavaScript         |         56 |          5 |          6 |         67 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\moment\locale\ar-sa.js                                                            | JavaScript         |        105 |          4 |          7 |        116 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\moment\locale\ar-tn.js                                                            | JavaScript         |         56 |          4 |          6 |         66 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\moment\locale\ar.js                                                               | JavaScript         |        188 |          6 |          7 |        201 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\moment\locale\az.js                                                               | JavaScript         |        101 |          5 |          7 |        113 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\moment\locale\be.js                                                               | JavaScript         |        140 |          6 |          7 |        153 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\moment\locale\bg.js                                                               | JavaScript         |         89 |          4 |          6 |         99 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\moment\locale\bm.js                                                               | JavaScript         |         53 |          4 |          6 |         63 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\moment\locale\bn-bd.js                                                            | JavaScript         |        127 |          4 |          9 |        140 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\moment\locale\bn.js                                                               | JavaScript         |        119 |          4 |          7 |        130 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\moment\locale\bo.js                                                               | JavaScript         |        123 |          4 |          7 |        134 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\moment\locale\br.js                                                               | JavaScript         |        163 |          4 |         10 |        177 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\moment\locale\bs.js                                                               | JavaScript         |        149 |          5 |          7 |        161 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\moment\locale\ca.js                                                               | JavaScript         |         99 |          4 |          6 |        109 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\moment\locale\cs.js                                                               | JavaScript         |        167 |          8 |          8 |        183 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\moment\locale\cv.js                                                               | JavaScript         |         64 |          4 |          6 |         74 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\moment\locale\cy.js                                                               | JavaScript         |         96 |          7 |          6 |        109 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\moment\locale\da.js                                                               | JavaScript         |         55 |          4 |          6 |         65 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\moment\locale\de-at.js                                                            | JavaScript         |         77 |          7 |          7 |         91 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\moment\locale\de-ch.js                                                            | JavaScript         |         77 |          4 |          7 |         88 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\moment\locale\de.js                                                               | JavaScript         |         77 |          6 |          7 |         90 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\moment\locale\dv.js                                                               | JavaScript         |         91 |          4 |          7 |        102 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\moment\locale\el.js                                                               | JavaScript         |        104 |          5 |          7 |        116 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\moment\locale\en-SG.js                                                            | JavaScript         |         70 |          4 |          6 |         80 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\moment\locale\en-au.js                                                            | JavaScript         |         70 |          4 |          6 |         80 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\moment\locale\en-ca.js                                                            | JavaScript         |         66 |          4 |          6 |         76 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\moment\locale\en-gb.js                                                            | JavaScript         |         70 |          4 |          6 |         80 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\moment\locale\en-ie.js                                                            | JavaScript         |         70 |          4 |          6 |         80 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\moment\locale\en-il.js                                                            | JavaScript         |         66 |          4 |          6 |         76 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\moment\locale\en-in.js                                                            | JavaScript         |         70 |          4 |          6 |         80 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\moment\locale\en-nz.js                                                            | JavaScript         |         70 |          4 |          6 |         80 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\moment\locale\eo.js                                                               | JavaScript         |         67 |          7 |          6 |         80 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\moment\locale\es-do.js                                                            | JavaScript         |        106 |          3 |          7 |        116 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\moment\locale\es-mx.js                                                            | JavaScript         |        107 |          4 |          7 |        118 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\moment\locale\es-us.js                                                            | JavaScript         |        106 |          5 |          7 |        118 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\moment\locale\es.js                                                               | JavaScript         |        107 |          4 |          7 |        118 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\moment\locale\et.js                                                               | JavaScript         |         78 |          5 |          7 |         90 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\moment\locale\eu.js                                                               | JavaScript         |         65 |          4 |          6 |         75 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\moment\locale\fa.js                                                               | JavaScript         |        111 |          4 |          7 |        122 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\moment\locale\fi.js                                                               | JavaScript         |        122 |          4 |          7 |        133 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\moment\locale\fil.js                                                              | JavaScript         |         59 |          5 |          6 |         70 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\moment\locale\fo.js                                                               | JavaScript         |         57 |          5 |          6 |         68 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\moment\locale\fr-ca.js                                                            | JavaScript         |         68 |          6 |          7 |         81 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\moment\locale\fr-ch.js                                                            | JavaScript         |         72 |          6 |          7 |         85 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\moment\locale\fr.js                                                               | JavaScript         |         98 |          9 |          9 |        116 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\moment\locale\fy.js                                                               | JavaScript         |         78 |          4 |          7 |         89 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\moment\locale\ga.js                                                               | JavaScript         |         96 |          4 |          7 |        107 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\moment\locale\gd.js                                                               | JavaScript         |         96 |          4 |          7 |        107 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\moment\locale\gl.js                                                               | JavaScript         |         76 |          4 |          6 |         86 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\moment\locale\gom-deva.js                                                         | JavaScript         |        124 |          5 |          7 |        136 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\moment\locale\gom-latn.js                                                         | JavaScript         |        124 |          5 |          7 |        136 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\moment\locale\gu.js                                                               | JavaScript         |        120 |          6 |          7 |        133 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\moment\locale\he.js                                                               | JavaScript         |         94 |          6 |          6 |        106 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\moment\locale\hi.js                                                               | JavaScript         |        157 |          6 |         13 |        176 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\moment\locale\hr.js                                                               | JavaScript         |        155 |          4 |          7 |        166 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\moment\locale\hu.js                                                               | JavaScript         |        118 |          5 |          7 |        130 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\moment\locale\hy-am.js                                                            | JavaScript         |         94 |          4 |          6 |        104 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\moment\locale\id.js                                                               | JavaScript         |         77 |          5 |          6 |         88 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\moment\locale\is.js                                                               | JavaScript         |        140 |          4 |          7 |        151 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\moment\locale\it-ch.js                                                            | JavaScript         |         66 |          4 |          6 |         76 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\moment\locale\it.js                                                               | JavaScript         |        106 |          6 |          6 |        118 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\moment\locale\ja.js                                                               | JavaScript         |        150 |          4 |          6 |        160 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\moment\locale\jv.js                                                               | JavaScript         |         77 |          5 |          6 |         88 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\moment\locale\ka.js                                                               | JavaScript         |         94 |          4 |          6 |        104 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\moment\locale\kk.js                                                               | JavaScript         |         83 |          4 |          7 |         94 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\moment\locale\km.js                                                               | JavaScript         |        103 |          4 |          7 |        114 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\moment\locale\kn.js                                                               | JavaScript         |        124 |          4 |          7 |        135 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\moment\locale\ko.js                                                               | JavaScript         |         76 |          5 |          6 |         87 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\moment\locale\ku.js                                                               | JavaScript         |        119 |          4 |          7 |        130 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\moment\locale\ky.js                                                               | JavaScript         |         85 |          4 |          7 |         96 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\moment\locale\lb.js                                                               | JavaScript         |        122 |         18 |          7 |        147 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\moment\locale\lo.js                                                               | JavaScript         |         67 |          4 |          6 |         77 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\moment\locale\lt.js                                                               | JavaScript         |        125 |          4 |          6 |        135 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\moment\locale\lv.js                                                               | JavaScript         |         87 |         11 |          7 |        105 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\moment\locale\me.js                                                               | JavaScript         |        117 |          5 |          8 |        130 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\moment\locale\mi.js                                                               | JavaScript         |         61 |          4 |          6 |         71 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\moment\locale\mk.js                                                               | JavaScript         |         87 |          5 |          6 |         98 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\moment\locale\ml.js                                                               | JavaScript         |         82 |          4 |          6 |         92 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\moment\locale\mn.js                                                               | JavaScript         |        100 |          4 |          7 |        111 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\moment\locale\mr.js                                                               | JavaScript         |        201 |          5 |          8 |        214 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\moment\locale\ms-my.js                                                            | JavaScript         |         77 |          5 |          6 |         88 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\moment\locale\ms.js                                                               | JavaScript         |         77 |          4 |          6 |         87 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\moment\locale\mt.js                                                               | JavaScript         |         57 |          4 |          6 |         67 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\moment\locale\my.js                                                               | JavaScript         |         89 |          6 |          8 |        103 |
